Record_ID,Analysis_Date,Drug_Name,Brand_Name,Therapeutic_Class,NDC_Code,Insurance_Plan_Name,Plan_ID,Contract_Year,Current_Formulary_Tier,Previous_Formulary_Tier,Formulary_Change_Date,Days_Since_Formulary_Change,Tier_Change_Direction,Access_Barriers,Prior_Authorization_Required,Step_Therapy_Required,Quantity_Limit_Monthly,Current_Monthly_Prescriptions,Previous_Monthly_Prescriptions,Utilization_Change_Percent,Utilization_Trend,Current_Patient_Copay,Previous_Patient_Copay,Copay_Change_Amount,Plan_Cost_Per_Prescription,Total_Cost_Per_Prescription,Cost_Per_Member_Per_Month,Prior_Auth_Approval_Rate,Average_Prior_Auth_Days,Prescription_Abandonment_Rate,Switch_to_Alternative_Rate,Generic_Substitution_Rate,Adherence_Rate_Post_Change,Member_Appeals_This_Month,Appeals_Approved,Exception_Requests,Exceptions_Granted,Member_Satisfaction_Score,Market_Share_Percent,Competing_Drugs_Same_Class,Price_Relative_to_Competitors,Geographic_Region,State_Code,Urban_Rural_Classification,Primary_Age_Group,Month_Year,Quarter,Fiscal_Year,Formulary_Risk_Score,Access_Disruption_Probability,Cost_Trend_Projection
FIA002544,2022-03-07,Amoxicillin,Amoxil,Antibiotics,45694-353-47,Medicaid Plan X,PLAN_1515,2022,Tier 1,Tier 2,2021-05-19,292,Improved,None,No,No,,702,757,-7.2,Decreased,14.62,21.22,-6.6,142.19,156.81,110.08,0.0,0,0.045,0.139,0.693,0.695,0,2,2,14,4.5,18.4,2,Similar,Midwest,PA,Suburban,36-50,2022-03,Q1_2022,2021,8.7,0.738,Increasing
FIA002413,2022-03-10,Amoxicillin,Amoxil,Antibiotics,76368-684-47,Commercial Plan Beta,PLAN_8136,2022,Tier 2,Tier 3,2021-08-19,203,Improved,None,No,No,,1095,951,15.2,Increased,36.15,86.44,-50.29,62.55,98.7,108.08,0.0,0,0.075,0.352,0.494,0.563,1,5,9,15,2.3,33.6,6,Similar,Northeast,NY,Rural,18-35,2022-03,Q1_2022,2021,4.9,0.361,Decreasing
FIA001308,2022-03-19,Amoxicillin,Amoxil,Antibiotics,44380-809-58,Medicare Part D Plan A,PLAN_9931,2022,Tier 2,Tier 3,2021-09-25,175,Improved,None,No,No,,404,289,40.0,Increased,48.44,90.32,-41.88,109.44,157.88,63.78,0.0,0,0.04,0.21,0.735,0.639,6,1,8,6,4.1,20.5,3,Similar,Southeast,FL,Rural,36-50,2022-03,Q1_2022,2021,5.7,0.996,Stable
FIA002116,2022-04-09,Amoxicillin,Amoxil,Antibiotics,63760-350-25,Medicare Part D Plan A,PLAN_7650,2022,Non-Formulary,Specialty Tier,2021-08-14,238,Worsened,Non-Formulary Status,No,No,,261,264,-1.1,Stable,287.98,208.73,79.25,59.96,347.94,90.81,0.0,0,0.189,0.314,0.519,0.495,9,0,14,15,4.3,12.6,8,Higher,Northeast,OH,Rural,36-50,2022-04,Q2_2022,2021,9.4,0.279,Increasing
FIA001441,2022-04-13,Amoxicillin,Amoxil,Antibiotics,21186-821-95,VA Plan,PLAN_6541,2022,Tier 1,Specialty Tier,2021-05-02,346,Improved,Quantity Limit,No,No,,1226,994,23.4,Increased,17.98,137.52,-119.54,91.45,109.43,134.16,0.0,0,0.041,0.198,0.583,0.495,9,9,10,3,2.7,22.4,5,Higher,Northeast,IL,Suburban,51-65,2022-04,Q2_2022,2021,8.6,0.641,Stable
FIA001331,2022-04-17,Amoxicillin,Amoxil,Antibiotics,87577-565-37,Tricare Standard,PLAN_3548,2022,Tier 3,Tier 3,2021-11-01,167,No Change,Prior Authorization,Yes,No,,213,234,-8.8,Decreased,70.88,67.57,3.31,89.29,160.17,34.12,0.412,6,0.065,0.133,0.201,0.465,8,6,9,7,4.9,22.9,4,Similar,Southeast,NC,Urban,51-65,2022-04,Q2_2022,2021,3.3,0.017,Decreasing
FIA002128,2022-04-29,Amoxicillin,Amoxil,Antibiotics,44443-530-16,Medicaid Plan X,PLAN_2426,2022,Non-Formulary,Tier 3,2021-09-03,238,Worsened,Non-Formulary Status; Quantity Limit,No,No,30.0,791,794,-0.3,Stable,241.81,71.29,170.52,118.22,360.03,284.78,0.0,0,0.12,0.255,0.836,0.636,6,2,4,0,4.7,24.8,6,Similar,West,NC,Urban,18-35,2022-04,Q2_2022,2021,2.9,0.297,Increasing
FIA001962,2022-04-30,Amoxicillin,Amoxil,Antibiotics,50997-707-86,Medicare Part D Plan B,PLAN_1925,2022,Non-Formulary,Tier 2,2021-11-13,168,Worsened,Non-Formulary Status,No,No,,206,312,-33.7,Decreased,758.66,28.2,730.46,86.93,845.59,174.19,0.0,0,0.179,0.229,0.517,0.669,13,6,7,10,3.5,5.0,3,Higher,West,TX,Rural,66-75,2022-04,Q2_2022,2021,7.8,0.202,Increasing
FIA002345,2022-05-04,Amoxicillin,Amoxil,Antibiotics,23934-874-27,Medicaid Plan Y,PLAN_9837,2022,Specialty Tier,Non-Formulary,2021-11-20,165,Improved,Prior Authorization; Quantity Limit,Yes,No,60.0,991,924,7.3,Increased,114.89,610.71,-495.82,54.62,169.51,167.98,0.472,8,0.066,0.319,0.365,0.653,9,8,9,7,4.3,17.3,6,Lower,Southeast,FL,Suburban,18-35,2022-05,Q2_2022,2021,6.1,0.217,Decreasing
FIA002438,2022-05-14,Amoxicillin,Amoxil,Antibiotics,34571-216-49,Commercial Plan Alpha,PLAN_2634,2022,Specialty Tier,Tier 3,2021-10-14,212,Worsened,Quantity Limit,No,No,90.0,397,435,-8.6,Decreased,264.54,80.57,183.97,87.65,352.19,139.82,0.0,0,0.274,0.097,0.632,0.687,4,3,14,4,2.5,9.0,3,Lower,Midwest,PA,Rural,36-50,2022-05,Q2_2022,2021,6.6,0.057,Stable
FIA002089,2022-06-01,Amoxicillin,Amoxil,Antibiotics,94153-417-69,VA Plan,PLAN_2999,2022,Non-Formulary,Tier 1,2021-10-17,227,Worsened,Non-Formulary Status,No,No,,588,995,-40.9,Decreased,496.21,12.3,483.91,107.31,603.52,354.87,0.0,0,0.219,0.09,0.44,0.804,15,3,16,9,2.0,20.6,2,Lower,Midwest,FL,Urban,36-50,2022-06,Q2_2022,2021,3.4,0.667,Stable
FIA001286,2022-06-04,Amoxicillin,Amoxil,Antibiotics,57679-965-34,Tricare Standard,PLAN_7372,2022,Tier 2,Tier 2,2021-06-04,365,No Change,Quantity Limit,No,No,60.0,831,774,7.4,Increased,43.48,26.69,16.79,146.95,190.43,158.25,0.0,0,0.033,0.332,0.433,0.487,10,6,4,5,2.5,21.2,7,Lower,Midwest,OH,Suburban,51-65,2022-06,Q2_2022,2021,8.2,0.132,Decreasing
FIA000493,2022-06-19,Amoxicillin,Amoxil,Antibiotics,27187-758-24,Medicaid Plan Y,PLAN_6199,2022,Specialty Tier,Tier 3,2022-05-07,43,Worsened,None,No,No,,127,140,-9.1,Decreased,127.23,92.55,34.68,192.94,320.17,40.66,0.0,0,0.108,0.074,0.204,0.587,1,8,6,13,3.7,10.5,2,Similar,Midwest,PA,Rural,75+,2022-06,Q2_2022,2021,6.6,0.386,Decreasing
FIA002672,2022-06-21,Amoxicillin,Amoxil,Antibiotics,37108-207-46,Commercial Plan Alpha,PLAN_5285,2022,Tier 3,Specialty Tier,2021-07-28,328,Improved,Step Therapy; Quantity Limit,No,Yes,30.0,107,109,-1.1,Stable,98.55,273.12,-174.57,98.32,196.87,21.07,0.0,0,0.061,0.364,0.3,0.482,8,2,18,10,2.3,34.2,3,Higher,Midwest,TX,Urban,36-50,2022-06,Q2_2022,2021,3.8,0.601,Stable
FIA000403,2022-06-23,Amoxicillin,Amoxil,Antibiotics,19884-109-11,Medicaid Plan Y,PLAN_2153,2022,Tier 3,Non-Formulary,2022-03-27,88,Improved,None,No,No,,810,880,-7.9,Decreased,51.15,277.12,-225.97,44.86,96.01,77.77,0.0,0,0.027,0.105,0.638,0.879,14,10,10,3,3.8,6.7,3,Lower,Northeast,FL,Urban,18-35,2022-06,Q2_2022,2021,1.0,0.792,Increasing
FIA002847,2022-06-28,Amoxicillin,Amoxil,Antibiotics,38058-689-88,Tricare Standard,PLAN_6704,2022,Tier 3,Tier 1,2021-07-26,337,Worsened,Quantity Limit,No,No,60.0,170,305,-44.0,Decreased,94.12,14.15,79.97,195.97,290.09,49.32,0.0,0,0.047,0.202,0.307,0.506,10,7,6,3,2.4,18.4,3,Similar,Northeast,IL,Urban,36-50,2022-06,Q2_2022,2021,6.1,0.579,Decreasing
FIA000545,2022-07-06,Amoxicillin,Amoxil,Antibiotics,78738-904-25,Tricare Standard,PLAN_1070,2022,Tier 3,Tier 2,2022-02-11,145,Worsened,Prior Authorization,Yes,No,,201,285,-29.5,Decreased,85.68,36.52,49.16,41.48,127.16,25.56,0.404,6,0.056,0.248,0.504,0.825,13,3,17,11,3.0,21.5,7,Higher,Midwest,MI,Rural,66-75,2022-07,Q3_2022,2021,7.2,0.47,Decreasing
FIA000263,2022-07-13,Amoxicillin,Amoxil,Antibiotics,80452-289-61,Medicare Part D Plan A,PLAN_7451,2022,Non-Formulary,Tier 2,2021-11-29,226,Worsened,Non-Formulary Status,No,No,,354,544,-34.9,Decreased,490.51,39.34,451.17,151.34,641.85,227.21,0.0,0,0.131,0.245,0.575,0.847,15,1,16,3,4.3,11.2,7,Lower,Southeast,MI,Rural,36-50,2022-07,Q3_2022,2021,1.0,0.447,Stable
FIA002626,2022-07-15,Amoxicillin,Amoxil,Antibiotics,74084-390-34,Commercial Plan Beta,PLAN_9884,2022,Tier 1,Specialty Tier,2022-01-23,173,Improved,None,No,No,,198,169,17.6,Increased,11.73,218.51,-206.78,33.6,45.33,8.98,0.0,0,0.04,0.254,0.596,0.694,1,9,0,14,3.0,14.0,3,Higher,Southeast,TX,Suburban,75+,2022-07,Q3_2022,2021,9.5,0.574,Decreasing
FIA001723,2022-07-26,Amoxicillin,Amoxil,Antibiotics,96416-627-63,Tricare Standard,PLAN_5324,2022,Tier 3,Non-Formulary,2022-03-04,144,Improved,Prior Authorization,Yes,No,,842,871,-3.2,Stable,96.29,773.41,-677.12,96.43,192.72,162.27,0.48,5,0.016,0.323,0.514,0.943,14,3,4,0,3.4,21.0,2,Similar,West,PA,Suburban,18-35,2022-07,Q3_2022,2021,7.0,0.985,Stable
FIA000700,2022-07-27,Amoxicillin,Amoxil,Antibiotics,94372-195-77,Tricare Standard,PLAN_4647,2022,Tier 2,Tier 2,2022-05-07,81,No Change,None,No,No,,148,143,3.6,Stable,29.69,30.21,-0.52,90.77,120.46,17.83,0.0,0,0.073,0.231,0.698,0.554,1,4,11,6,2.3,7.3,2,Similar,Southwest,CA,Rural,18-35,2022-07,Q3_2022,2021,7.8,0.936,Decreasing
FIA001429,2022-08-01,Amoxicillin,Amoxil,Antibiotics,58067-474-53,Commercial Plan Alpha,PLAN_6349,2022,Tier 3,Tier 1,2022-04-16,107,Worsened,Prior Authorization,Yes,No,,499,701,-28.8,Decreased,73.54,19.42,54.12,73.92,147.46,73.58,0.291,2,0.058,0.224,0.402,0.692,13,5,4,12,2.9,9.7,7,Similar,Southeast,GA,Suburban,36-50,2022-08,Q3_2022,2021,5.5,0.135,Increasing
FIA002443,2022-08-01,Amoxicillin,Amoxil,Antibiotics,24293-263-86,Medicare Part D Plan B,PLAN_7161,2022,Tier 1,Non-Formulary,2021-10-05,300,Improved,None,No,No,,514,377,36.4,Increased,15.86,387.46,-371.6,44.42,60.28,30.98,0.0,0,0.026,0.316,0.872,0.892,12,2,10,6,5.0,28.9,2,Lower,West,TX,Rural,51-65,2022-08,Q3_2022,2021,5.6,0.526,Stable
FIA001288,2022-08-05,Amoxicillin,Amoxil,Antibiotics,33095-423-90,Medicare Part D Plan A,PLAN_7280,2022,Tier 1,Tier 2,2021-12-03,245,Improved,None,No,No,,456,468,-2.5,Stable,14.76,39.02,-24.26,100.58,115.34,52.6,0.0,0,0.056,0.265,0.251,0.518,5,8,16,0,4.0,33.3,6,Higher,Southwest,CA,Rural,18-35,2022-08,Q3_2022,2021,1.8,0.896,Stable
FIA001029,2022-08-06,Amoxicillin,Amoxil,Antibiotics,86484-287-67,Medicare Part D Plan B,PLAN_6180,2022,Non-Formulary,Tier 3,2022-03-07,152,Worsened,Non-Formulary Status; Quantity Limit,No,No,60.0,129,133,-2.8,Stable,597.0,86.01,510.99,160.43,757.43,97.71,0.0,0,0.2,0.061,0.487,0.684,13,7,0,4,4.9,27.2,7,Lower,Midwest,NY,Suburban,75+,2022-08,Q3_2022,2021,6.9,0.186,Decreasing
FIA000935,2022-08-11,Amoxicillin,Amoxil,Antibiotics,17965-640-90,VA Plan,PLAN_8121,2022,Tier 1,Tier 1,2022-04-07,126,No Change,None,No,No,,116,109,6.6,Increased,15.24,16.18,-0.94,112.86,128.1,14.86,0.0,0,0.067,0.313,0.857,0.524,1,7,1,7,2.8,13.1,3,Higher,Southwest,GA,Rural,51-65,2022-08,Q3_2022,2021,5.9,0.865,Decreasing
FIA001321,2022-08-12,Amoxicillin,Amoxil,Antibiotics,96039-809-92,Commercial Plan Beta,PLAN_3107,2022,Tier 1,Tier 3,2022-05-24,80,Improved,Quantity Limit,No,No,30.0,938,594,57.9,Increased,8.54,74.28,-65.74,166.77,175.31,164.44,0.0,0,0.052,0.145,0.621,0.664,14,1,18,13,3.4,14.9,5,Higher,Northeast,FL,Urban,75+,2022-08,Q3_2022,2021,3.8,0.264,Increasing
FIA001541,2022-08-12,Amoxicillin,Amoxil,Antibiotics,11712-312-49,VA Plan,PLAN_4553,2022,Tier 2,Tier 2,2022-07-10,33,No Change,None,No,No,,320,349,-8.0,Decreased,38.36,49.48,-11.12,113.43,151.79,48.57,0.0,0,0.021,0.33,0.716,0.499,14,4,20,4,4.4,17.5,5,Higher,Southwest,OH,Rural,18-35,2022-08,Q3_2022,2021,7.7,0.958,Decreasing
FIA000195,2022-08-20,Amoxicillin,Amoxil,Antibiotics,69892-714-49,Tricare Standard,PLAN_4700,2022,Tier 3,Tier 1,2021-11-25,268,Worsened,Step Therapy,No,Yes,,545,880,-38.1,Decreased,55.52,7.04,48.48,95.41,150.93,82.26,0.0,0,0.045,0.244,0.403,0.87,6,1,15,11,2.5,35.0,5,Higher,Northeast,OH,Suburban,75+,2022-08,Q3_2022,2021,6.9,0.085,Increasing
FIA002475,2022-08-23,Amoxicillin,Amoxil,Antibiotics,59779-181-27,Commercial Plan Beta,PLAN_5633,2022,Tier 2,Non-Formulary,2021-10-13,314,Improved,None,No,No,,481,360,33.8,Increased,43.75,474.66,-430.91,84.86,128.61,61.86,0.0,0,0.046,0.335,0.499,0.464,4,6,6,6,3.8,10.8,6,Lower,Southwest,IL,Rural,36-50,2022-08,Q3_2022,2021,2.4,0.229,Increasing
FIA002037,2022-08-25,Amoxicillin,Amoxil,Antibiotics,13589-855-84,Commercial Plan Beta,PLAN_7929,2022,Tier 2,Non-Formulary,2022-05-24,93,Improved,None,No,No,,1088,926,17.6,Increased,47.18,460.42,-413.24,146.98,194.16,211.25,0.0,0,0.011,0.24,0.514,0.436,4,1,11,2,3.6,12.9,8,Similar,Midwest,PA,Urban,18-35,2022-08,Q3_2022,2021,1.5,0.254,Increasing
FIA002822,2022-08-26,Amoxicillin,Amoxil,Antibiotics,61866-344-79,Tricare Standard,PLAN_4336,2022,Tier 1,Tier 1,2021-09-10,350,No Change,None,No,No,,908,982,-7.5,Decreased,16.5,18.59,-2.09,102.38,118.88,107.94,0.0,0,0.036,0.08,0.388,0.686,1,4,8,10,4.9,17.3,5,Similar,Midwest,GA,Urban,36-50,2022-08,Q3_2022,2021,9.0,0.792,Decreasing
FIA000813,2022-08-30,Amoxicillin,Amoxil,Antibiotics,94059-546-49,Medicare Part D Plan B,PLAN_7607,2022,Non-Formulary,Non-Formulary,2021-11-21,282,No Change,Non-Formulary Status,No,No,,382,374,2.3,Stable,454.64,400.79,53.85,90.89,545.53,208.39,0.0,0,0.068,0.204,0.619,0.531,0,0,18,6,3.1,20.1,3,Lower,Northeast,OH,Urban,18-35,2022-08,Q3_2022,2021,1.8,0.736,Decreasing
FIA001649,2022-09-03,Amoxicillin,Amoxil,Antibiotics,54998-443-74,Medicare Part D Plan B,PLAN_4342,2022,Specialty Tier,Specialty Tier,2022-05-09,117,No Change,Prior Authorization,Yes,No,,719,761,-5.4,Decreased,141.26,281.56,-140.3,176.06,317.32,228.15,0.415,3,0.162,0.328,0.504,0.504,8,2,14,0,2.2,34.6,8,Higher,Southeast,NY,Urban,36-50,2022-09,Q3_2022,2021,6.8,0.907,Increasing
FIA000390,2022-09-04,Amoxicillin,Amoxil,Antibiotics,96309-661-59,Tricare Standard,PLAN_2906,2022,Tier 3,Tier 3,2022-06-11,85,No Change,Quantity Limit,No,No,,588,630,-6.7,Decreased,67.45,59.02,8.43,189.43,256.88,151.05,0.0,0,0.074,0.168,0.456,0.532,15,3,12,1,3.1,32.5,5,Higher,West,TX,Rural,18-35,2022-09,Q3_2022,2021,7.0,0.321,Decreasing
FIA001652,2022-10-02,Amoxicillin,Amoxil,Antibiotics,49860-372-99,Medicaid Plan Y,PLAN_6991,2022,Tier 3,Tier 1,2022-06-03,121,Worsened,None,No,No,,568,809,-29.8,Decreased,55.19,13.19,42.0,130.79,185.98,105.64,0.0,0,0.06,0.359,0.827,0.805,12,2,11,6,3.2,30.0,2,Similar,Northeast,FL,Urban,36-50,2022-10,Q4_2022,2022,3.7,0.367,Stable
FIA002836,2022-10-20,Amoxicillin,Amoxil,Antibiotics,74412-687-56,Tricare Standard,PLAN_1269,2022,Non-Formulary,Tier 2,2022-02-21,241,Worsened,Non-Formulary Status,No,No,,609,819,-25.6,Decreased,472.49,32.53,439.96,173.32,645.81,393.3,0.0,0,0.052,0.268,0.335,0.458,3,8,2,9,2.7,27.8,5,Higher,West,CA,Urban,66-75,2022-10,Q4_2022,2022,7.4,0.817,Increasing
FIA001101,2022-10-21,Amoxicillin,Amoxil,Antibiotics,74918-347-44,VA Plan,PLAN_1702,2022,Tier 3,Tier 1,2022-07-18,95,Worsened,None,No,No,,63,158,-59.9,Decreased,95.38,15.47,79.91,170.87,266.25,16.77,0.0,0,0.06,0.286,0.274,0.454,9,0,15,4,4.4,27.4,5,Similar,Midwest,GA,Suburban,36-50,2022-10,Q4_2022,2022,5.4,0.289,Increasing
FIA000970,2022-11-17,Amoxicillin,Amoxil,Antibiotics,42779-945-68,Medicare Part D Plan A,PLAN_6109,2022,Tier 1,Tier 3,2021-12-23,329,Improved,Quantity Limit,No,No,,1453,984,47.7,Increased,14.06,54.35,-40.29,188.74,202.8,294.67,0.0,0,0.017,0.17,0.834,0.523,0,6,14,12,3.4,11.9,5,Lower,Northeast,MI,Rural,66-75,2022-11,Q4_2022,2022,2.1,0.801,Increasing
FIA000089,2022-11-19,Amoxicillin,Amoxil,Antibiotics,63004-975-67,Commercial Plan Beta,PLAN_2551,2022,Tier 3,Non-Formulary,2022-09-30,50,Improved,Prior Authorization,Yes,No,,230,251,-8.2,Decreased,60.75,713.94,-653.19,59.56,120.31,27.67,0.249,8,0.067,0.086,0.756,0.467,1,3,4,6,4.5,16.2,7,Higher,Northeast,MI,Rural,51-65,2022-11,Q4_2022,2022,9.3,0.075,Increasing
FIA000370,2022-11-21,Amoxicillin,Amoxil,Antibiotics,69151-856-29,Medicaid Plan Y,PLAN_2196,2022,Non-Formulary,Tier 1,2022-01-02,323,Worsened,Non-Formulary Status,No,No,,125,295,-57.6,Decreased,753.5,14.15,739.35,77.07,830.57,103.82,0.0,0,0.158,0.114,0.603,0.65,13,0,12,9,2.0,29.8,2,Lower,Southeast,IL,Suburban,36-50,2022-11,Q4_2022,2022,3.3,0.223,Decreasing
